A,-0,6823,1,1301,0,0388847494553376906318082789
AAL,-0,5860,1,2200,0,1173941176470588235294117647
AAN,-1,0342,0,7387,0,0766492374727668845315904139
AAON,-1,6474,0,8462,0,0304045751633986928104575163
AAP,-1,8245,13,5451,0,4652688453159041394335511983
AAPL,-1,7264,3,0386,0,2258259259259259259259259259
AAT,-0,7553,0,9397,0,0322416122004357298474945534
AAWW,-11,6600,1,4700,-0,2158823529411764705882352941
AAXN,-1,7500,2,3100,0,1028104575163398692810457516
ABBV,-1,3184,1,4948,0,0469122004357298474945533769
ABC,-0,7232,1,2795,0,1631093681917211328976034858
ABCB,-0,5217,0,8212,0,0035751633986928104575163399
ABCD,-0,1600,0,1500,-0,0048801742919389978213507625
ABG,-2,9600,1,6100,-0,062047930283224400871459695
ABM,-0,6545,0,9453,0,0452193899782135076252723312
ABMD,-2,5100,2,3300,0,0994335511982570806100217865
ABR,-0,2604,0,1172,-0,0078553376906318082788671024
ABT,-0,6813,1,9716,0,0626307189542483660130718954
ABUS,-1,3100,1,6200,0,0399738562091503267973856209
ACAD,-4,2600,3,1700,-0,0122222222222222222222222222
ACC,-1,0911,0,8696,-0,0372938997821350762527233115
ACCO,-1,1833,0,2958,-0,0340962962962962962962962963
ACGL,-0,2000,0,4467,0,040552069716775599128540305
ACHC,-1,1360,3,3200,0,1116557734204793028322440087
ACHN,-4,2200,0,3100,-0,1103703703703703703703703704
ACIW,-0,3675,1,1075,0,0632189542483660130718954248
ACLS,-0,7200,0,6000,0,0101960784313725490196078431
ACM,-2,3400,0,9400,-0,0288888888888888888888888889
ACN,-1,5965,1,5268,0,0423838779956427015250544662
ACNB,-0,2929,0,3197,0,0136479910714285714285714286
ACOR,-2,8400,1,4400,-0,0652069716775599128540305011
ACRE,-0,1317,0,3022,0,0184457516339869281045751634
ACTG,-3,7801,0,5204,-0,1726742919389978213507625272
ACXM,-1,2700,1,3300,0,1579084967320261437908496732
ADBE,-1,7120,4,4400,0,2122352941176470588235294118
ADC,-0,4811,1,0035,0,068586274509803921568627451
ADI,-1,0220,1,4889,0,0394444444444444444444444444
ADM,-0,5375,0,9780,0,1011
ADP,-1,8266,1,3633,0,0470333333333333333333333333
ADS,-5,6518,6,2405,0,9851326797385620915032679739
ADSK,-1,3000,2,0600,0,1026797385620915032679738562
ADT,-0,8116,0,7695,0,0323498910675381263616557734
ADTN,-2,1850,0,5440,-0,0564431372549019607843137255
ADUS,-2,5300,2,7500,-0,0216993464052287581699346405
AE,-2,4029,5,4223,-0,1531579520697167755991285403
AEE,-0,3670,1,0177,0,0550457516339869281045751634
AEGN,-2,2400,0,5200,-0,0532244008714596949891067538
AEIS,-1,9150,5,3200,0,117962962962962962962962963
AEL,-0,4883,0,7852,0,0219928104575163398692810458
AEO,-0,5126,0,8202,0,0270185185185185185185185185
AEP,-0,7818,1,3391,0,0970747276688453159041394336
AES,-0,2978,0,4339,0,0333875816993464052287581699
AET,-1,6671,2,0933,-0,1093300653594771241830065359
AFG,-0,6249,0,9665,0,0585897603485838779956427015
AFL,-0,8808,0,6628,0,0444139433551198257080610022
AFSI,-0,9504,1,6280,0,036271241830065359477124183
AGCO,-4,3925,1,4228,-0,0197333333333333333333333333
AGEN,-0,1300,0,2800,-0,0056644880174291938997821351
AGIO,-3,8200,2,2100,-0,1393899782135076252723311547
AGM,-0,7516,1,0915,0,0518063180827886710239651416
AGN,-4,2485,8,1949,0,5872507625272331154684095861
AGNC,-1,1204,0,6656,-0,0145684095860566448801742919
AGO,-0,6970,1,2014,0,0786063180827886710239651416
AGX,-0,6772,0,5141,0,0473995642701525054466230937
AGYS,-0,2300,0,3200,-0,0033551198257080610021786492
AHH,-0,3675,0,5687,0,0051694989106753812636165577
AHL,-0,5443,0,7711,0,0781703703703703703703703704
AHT,-0,2687,0,2894,0,0093067538126361655773420479
AI,-0,5116,0,3458,0,0110294117647058823529411765
AIG,-3,0937,1,6983,-0,0275627450980392156862745098
AIMC,-0,6965,1,3473,0,0836344226579520697167755991
AIN,-1,2959,1,1108,0,041280827886710239651416122
AIR,-2,6330,1,0266,0,0579359477124183006535947712
AIT,-2,9343,1,1845,-0,0699607843137254901960784314
AIV,-0,7967,1,0933,-0,0443126361655773420479302832
AIZ,-1,3028,1,3387,0,1005895424836601307189542484
AJG,-0,5002,0,6986,0,0724738562091503267973856209
AJRD,-1,4400,0,6100,0,0373856209150326797385620915
AKAM,-5,8100,1,7600,-0,1219346405228758169934640523
AKR,-0,3754,0,6174,0,038194553376906318082788671
AKRX,-0,6100,0,8100,0,0755337690631808278867102397
AKS,-0,3550,0,4100,0,0296949891067538126361655773
AL,-0,6107,1,6285,0,1096511982570806100217864924
ALB,-0,7472,2,7950,0,0833165577342047930283224401
ALBO,-9,3000,6,3000,-0,694771241830065359477124183
ALCO,-4,4059,1,5136,-0,1144263616557734204793028322
ALE,-0,7538,0,9883,0,0640309368191721132897603486
ALEX,-0,5899,0,9954,-0,0158176470588235294117647059
ALG,-1,1499,3,9466,0,0823028322440087145969498911
ALGN,-2,0700,12,0500,0,2858823529411764705882352941
ALGT,-4,5774,3,2708,0,1840777777777777777777777778
ALK,-1,5244,1,2279,0,1400989106753812636165577342
ALKS,-1,5100,2,7600,0,047276688453159041394335512
ALL,-0,9206,1,3308,0,0717912854030501089324618736
ALNY,-4,0500,5,8250,-0,0458387799564270152505446623
ALSN,-1,1055,0,7674,0,0113605664488017429193899782
ALTR,-4,8190,0,8976,-0,1037087145969498910675381264
ALX,-6,9935,9,1023,0,6118535947712418300653594771
ALXN,-6,0200,8,4700,0,0582570806100217864923747277
AMAG,-3,7400,1,6700,-0,0332897603485838779956427015
AMAT,-0,6183,1,3399,0,0362605664488017429193899782
AMBA,-1,5900,1,4900,0,1006318082788671023965141612
AMBC,-1,1800,1,1900,0,0204357298474945533769063181
AMCX,-4,2000,2,7600,0,0757952069716775599128540305
AMD,-0,5600,0,1400,-0,0073638344226579520697167756
AME,-0,9386,1,6450,0,0836546840958605664488017429
AMED,-3,0300,0,7700,-0,0881045751633986928104575163
AMG,-5,0488,7,3355,0,389017864923747276688453159
AMGN,-2,3885,3,2321,-0,0777830065359477124183006536
AMH,-0,3032,0,4738,0,0150762527233115468409586057
AMKR,-0,1600,0,3300,0,0297603485838779956427015251
AMN,-1,2500,1,4500,-0,016819172113289760348583878
AMNB,-0,6754,0,9961,0,0223797385620915032679738562
AMOT,-0,5564,1,2006,0,0602923747276688453159041394
AMP,-1,8084,2,5530,0,2480636165577342047930283224
AMPE,-0,5000,1,4800,0,0104793028322440087145969499
AMRC,-0,9200,0,4300,-0,0001525054466230936819172113
AMRS,-3,9000,1,9500,0,0143790849673202614379084967
AMRX,-0,5500,1,1500,0,067952069716775599128540305
AMSF,-0,8865,1,1711,0,1138128540305010893246187364
AMSWA,-0,1956,0,2853,0,0225943355119825708061002179
AMT,-1,2254,2,1855,0,0911633986928104575163398693
AMTD,-1,0082,0,8499,0,0323620915032679738562091503
AMWD,-1,5500,1,4400,-0,0870806100217864923747276688
AMZN,-12,6200,31,1800,1,3866666666666666666666666667
AN,-1,8300,1,3300,-0,0720915032679738562091503268
ANAT,-2,6594,3,4937,0,1700690631808278867102396514
ANCX,-0,3920,0,6779,0,0147084967320261437908496732
ANDE,-1,6000,1,5690,0,2087418300653594771241830065
ANDV,-2,0035,2,3000,0,1594420479302832244008714597
ANF,-4,2869,1,1338,-0,0460984749455337690631808279
ANGO,-0,5900,0,7700,0,0953376906318082788671023965
ANH,-0,0936,0,1988,-0,0001699346405228758169934641
ANIK,-1,5700,3,2000,0,1649455337690631808278867102
ANIP,-1,1900,0,8700,0,088832897603485838779956427
ANSS,-4,8500,2,0900,-0,0941176470588235294117647059
